"entidad","year","corrupcion","camara","federal","estatal","municipal","ejercito","ministerio","policia","contacto","tramites","pib_total","pib_primarias","pib_secundarias","pib_terciarias","pib_salud","pib_educacion","wjp_corrupcion","wjp_edoderecho","year_wjp","escolaridad","year_esc","exportaciones","inversion","irs","year_real","habla_indigena","year_li"
"Aguascalientes",2015,80.9052234,75.30441843,77.55759148,78.02114777,69.89761514,30.852265707,71.71494642,88.18425744,0.017485746670176914,0.04251468626790228,0.15102018751371382,0.00610105337421069,0.06370109725845381,0.08121803688104932,0.00357255147256015,0.0059600150547334,0.412812963201207,0.4429793676165045,2018,9.725974723,2015,8495445,2728521608,-1.036695,2015,0.251004,2015
"Baja California",2015,89.45871961,74.71152249,78.16823889,75.24602894,71.44259361,41.731444350000004,73.51939766000001,89.3721513,0.011041966786544219,0.01903364760220141,0.1542507909182976,0.00448177917259541,0.0592313914793746,0.0905376202663276,0.00294579985439262,0.00579568371230056,0.411437461588211,0.425724344680994,2018,9.757417721,2015,38441997,956251708,-0.8180775,2015,1.454619,2015
"Baja California Sur",2015,83.82772267,80.69116929,81.14056486999999,79.86176614,80.68520626,40.47487396,78.88382935,90.48137909,0.07461384019434923,0.21035228799627276,0.1833080422286171,0.00693640006235701,0.05353711014579462,0.12283453202046546,0.00369259117255055,0.00647196392281775,0.3229957947123459,0.3510551690653406,2018,9.905535231,2015,199662,1103667773,-0.3953554,2015,1.527211,2015
"Campeche",2015,82.72339263,81.04886089,81.88977878,76.65627163,76.35934632,31.216853925000002,73.79657916,89.55458027,0.03828223937411785,0.06826691074298091,0.7085039219673509,0.00545073344511968,0.6161887966966356,0.08686439182559552,0.00276347408856901,0.00638041472068414,0.38326433970534346,0.4277133324550143,2018,9.13845446,2015,11288367,980008423,0.3041175,2015,11.51482,2015
"Coahuila de Zaragoza",2015,83.47291191,66.24145321,74.72234466,76.45323484,72.34085979,30.98579316,69.08484655,87.31090667,0.011009901579978668,0.020190217000272837,0.19084421717714384,0.00462988715411441,0.09730930432855092,0.088905025694478515,0.00293580424479215,0.00537242154173639,0.35285803730841886,0.42674261024692023,2018,9.897388249,2015,36251769,1700945877,-1.064973,2015,0.198435,2015
"Colima",2015,84.94618319,77.08095517000001,79.62637602999999,83.98631501,73.33611268,35.26862081,68.45835443,79.3732567,0.035531384684883933,0.043434383056717596,0.13480504474611066,0.00615066047087109,0.03552167145880054,0.093132712816439,0.00314732964491342,0.00673510583702995,0.3670997394776366,0.3901314141384946,2018,9.528720419,2015,288409,390414309,-0.6576504,2015,0.633929,2015
"Chiapas",2015,94.04910004999999,80.28954663,85.44545262,87.09715809,87.42498066,41.57202618,82.02635588,90.93222555,0.01957507135815083,0.03162937922643615,0.05515847174768126,0.00377669786435483,0.01463550986333986,0.03674626401998655,0.00168911352979009,0.00463162554801656,0.3233370620354194,0.3923608041897381,2018,7.288581208,2015,1165750,4412342772,2.387669,2015,27.935572,2015
"Chihuahua",2015,85.67707317,76.79371882999999,79.43910747000001,82.06663189,77.33162422999999,48.039910309999996,72.43710283,87.34614097,0.013430831403037406,0.02779898939385278,0.14357719367008812,0.00918263474905906,0.05644376132761471,0.07795079759341435,0.00275632392296631,0.00538031543839661,0.3581584918538866,0.385449906557238,2018,9.466590559,2015,40302945,2249222796,-0.5871851,2015,2.674611,2015
"Ciudad de México",2015,95.08142016,92.49766283000001,89.69862033,89.90328518,89.19657243,56.2212046,92.06885324,94.14235986,0.00370180627083049,0.005927876885906384,0.3217742531299289,1.3319578640406796e-4,0.03186284363793501,0.2897782137055898,0.00903513299598044,0.01011983726690566,0.2682717141958817,0.3665220684758194,2018,11.11958711,2015,2452302,4687118531,-1.313332,2015,1.504583,2015
"Durango",2015,86.11722577,77.28970292,77.10783114,75.44809441999999,71.86239832999999,39.3449794,72.69838134,92.1381222,0.027371406612095747,0.04474955928937782,0.10992315788993784,0.01072420635599064,0.03364064307589554,0.06555830845805168,0.00249548825647355,0.006217199675852,0.3237535442613409,0.418236481506409,2018,9.147609659,2015,1752494,2883605320,-0.0325487,2015,2.407331,2015
"Guanajuato",2015,88.17415368,75.82511255,80.44856678,74.87142925,77.05772503,30.07146259,72.55000906000001,92.48314706000001,0.005861751744592471,0.013948045854395727,0.11169901004103916,0.00394361304868717,0.04198411904175785,0.06577127795059413,0.00282940773807642,0.00401874035755645,0.41656359708265456,0.4083260830762374,2018,8.381850681,2015,20787831,5630459467,-0.0584027,2015,0.227985,2015
"Guerrero",2015,92.99907155,79.49883138,84.2703521,85.75867782,83.43936557,47.485964679999995,83.30702948999999,91.19285918,0.022419763048982005,0.032093562473334614,0.0649771459768921,0.00324014682228916,0.01200160899975688,0.04973539015484606,0.00202464529126291,0.00462154910590841,0.2755213677260397,0.29111818782110144,2018,7.802707422,2015,334522,877015971,2.45145,2015,15.318964,2015
"Hidalgo",2015,77.57525559999999,70.03002459,73.25456193000001,74.33130581,69.02653035,26.431991718,71.77740391,85.78594539,0.051335049128445,0.09397515219535658,0.09050474485535231,0.00368810740708217,0.03079070788518867,0.05602592956308147,0.00200122342924734,0.00515611544945893,0.376085892316051,0.42336554473444754,2018,8.715456678,2015,1726505,811413474,0.4495519,2015,14.222953,2015
"Jalisco",2015,92.31943648000001,83.32878577,82.21077049,82.81020146,80.13291674,39.43940017,78.55489271,91.49768531000001,0.0059227717405210345,0.00921640242961295,0.14084242360892463,0.00794286785054615,0.04530281421012309,0.08759674154825535,0.00275771992509716,0.00487904772952377,0.31061267450184327,0.36865220541608146,2018,9.249860796,2015,19737684,2608922907,-0.6917049,2015,0.766556,2015
