"entidad","wjp_corrupcion","wjp_edoderecho","year","year_wjp","escolaridad","year_esc","exportaciones","inversion","irs","year_real","habla_indigena","year_li"
"Aguascalientes",0.412812963201207,0.4429793676165045,2015,2018,9.725974723,2015,8495445,2728521608,-1.036695,2015,0.251004,2015
"Baja California",0.41143746158821093,0.425724344680994,2015,2018,9.757417721,2015,38441997,956251708,-0.8180775,2015,1.454619,2015
"Baja California Sur",0.3229957947123459,0.3510551690653406,2015,2018,9.905535231,2015,199662,1103667773,-0.3953554,2015,1.527211,2015
"Campeche",0.38326433970534346,0.4277133324550143,2015,2018,9.13845446,2015,11288367,980008423,0.3041175,2015,11.51482,2015
"Chiapas",0.3233370620354194,0.3923608041897381,2015,2018,7.288581208,2015,1165750,4412342772,2.387669,2015,27.935572,2015
"Chihuahua",0.3581584918538866,0.385449906557238,2015,2018,9.466590559,2015,40302945,2249222796,-0.5871851,2015,2.674611,2015
"Ciudad de México",0.2682717141958817,0.3665220684758194,2015,2018,11.11958711,2015,2452302,4687118531,-1.313332,2015,1.504583,2015
"Coahuila de Zaragoza",0.35285803730841886,0.42674261024692023,2015,2018,9.897388249,2015,36251769,1700945877,-1.064973,2015,0.198435,2015
"Colima",0.3670997394776366,0.39013141413849467,2015,2018,9.528720419,2015,288409,390414309,-0.6576504,2015,0.633929,2015
"Durango",0.3237535442613409,0.418236481506409,2015,2018,9.147609659,2015,1752494,2883605320,-0.0325487,2015,2.407331,2015
"Estado de México",0.2833938384717877,0.35524781178532444,2015,2018,9.528067379,2015,21392725,16661996400,-0.4795274,2015,2.739034,2015
"Guanajuato",0.41656359708265456,0.4083260830762374,2015,2018,8.381850681,2015,20787831,5630459467,-0.0584027,2015,0.227985,2015
"Guerrero",0.2755213677260397,0.29111818782110144,2015,2018,7.802707422,2015,334522,877015971,2.45145,2015,15.318964,2015
"Hidalgo",0.376085892316051,0.42336554473444754,2015,2018,8.715456678,2015,1726505,811413474,0.4495519,2015,14.222953,2015
"Jalisco",0.31061267450184327,0.36865220541608146,2015,2018,9.249860796,2015,19737684,2608922907,-0.6917049,2015,0.766556,2015
"Michoacán de Ocampo",0.347145212658906,0.3956345793960175,2015,2018,7.926166956,2015,822901,1281249563,0.6252466,2015,3.558948,2015
"Morelos",0.3567399257666781,0.3652746021904162,2015,2018,9.303000614,2015,3402757,1293181688,-0.2088349,2015,1.980698,2015
"Nayarit",0.3543336382935922,0.3690897205548055,2015,2018,9.158921469,2015,101253,381071356,0.0126394,2015,5.41305,2015
"Nuevo León",0.38978445267171696,0.41729997650739653,2015,2018,10.27495586,2015,34522156,430824000,-1.360326,2015,1.217869,2015
"Oaxaca",0.3384747859776521,0.38701067581658916,2015,2018,7.51576302,2015,737200,2112927543,2.539013,2015,32.153007,2015
"Puebla",0.32910071852511463,0.3612127155474737,2015,2018,8.493854344,2015,10141642,3840579057,0.8834226,2015,11.264054,2015
"Querétaro",0.4184164310094071,0.42676662663588216,2015,2018,9.553260268,2015,10400468,2358850133,-0.4259123,2015,1.676642,2015
"Quintana Roo",0.3081170008684362,0.3637547018589404,2015,2018,9.615036244,2015,31075,2676434498,-0.3961296,2015,16.623827,2015
"San Luis Potosí",0.34177650575891044,0.38628783704333997,2015,2018,8.81999521,2015,9806397,1352815538,0.6110144,2015,9.996013,2015
"Sinaloa",0.35495394674935576,0.4085441498294905,2015,2018,9.581325259,2015,1245917,2853513093,-0.4578008,2015,1.395216,2015
"Sonora",0.3254424663988662,0.356703665245391,2015,2018,10.00142937,2015,16895882,873100936,-0.5882048,2015,2.440612,2015
"Tabasco",0.35548809346602195,0.3753458133713256,2015,2018,9.311768933,2015,6603627,825923048,-0.1544757,2015,2.72302,2015
"Tamaulipas",0.38608829083036644,0.38114544475533607,2015,2018,9.508512087,2015,26300101,2538477376,-0.5268046,2015,0.738607,2015
"Tlaxcala",0.33256758480096266,0.3766838308917142,2015,2018,9.274111563,2015,1307252,1372797313,-0.1736643,2015,2.737685,2015
"Veracruz de Ignacio de la Llave",0.31182167834016994,0.36757255229047825,2015,2018,8.203437948,2015,5437056,5513868834,1.199394,2015,9.194051,2015
"Yucatán",0.3802366616521822,0.45017909822169744,2015,2018,8.821077329,2015,1470940,170922112,0.2944613,2015,28.891132,2015
"Zacatecas",0.41780019311263683,0.43715923836770815,2015,2018,8.629599032,2015,3325166,1870189190,-0.3303741,2015,0.251678,2015
"Aguascalientes",0.412812963201207,0.4429793676165045,2017,2018,9.725974723,2015,7830019,1152789098,-1.036695,2015,0.251004,2015
"Baja California",0.41143746158821093,0.425724344680994,2017,2018,9.757417721,2015,36315716,1106638647,-0.8180775,2015,1.454619,2015
"Baja California Sur",0.3229957947123459,0.3510551690653406,2017,2018,9.905535231,2015,249573,1633871840,-0.3953554,2015,1.527211,2015
"Campeche",0.38326433970534346,0.4277133324550143,2017,2018,9.13845446,2015,12726092,1315260691,0.3041175,2015,11.51482,2015
"Chiapas",0.3233370620354194,0.3923608041897381,2017,2018,7.288581208,2015,606132,4758641934,2.387669,2015,27.935572,2015
"Chihuahua",0.3581584918538866,0.385449906557238,2017,2018,9.466590559,2015,46491551,733032509,-0.5871851,2015,2.674611,2015
"Ciudad de México",0.2682717141958817,0.3665220684758194,2017,2018,11.11958711,2015,2630544,7793540726,-1.313332,2015,1.504583,2015
"Coahuila de Zaragoza",0.35285803730841886,0.42674261024692023,2017,2018,9.897388249,2015,38950677,2648149501,-1.064973,2015,0.198435,2015
"Colima",0.3670997394776366,0.39013141413849467,2017,2018,9.528720419,2015,133681,496086741,-0.6576504,2015,0.633929,2015
"Durango",0.3237535442613409,0.418236481506409,2017,2018,9.147609659,2015,1672357,1577572025,-0.0325487,2015,2.407331,2015
"Estado de México",0.2833938384717877,0.35524781178532444,2017,2018,9.528067379,2015,18601992,23915792100,-0.4795274,2015,2.739034,2015
"Guanajuato",0.41656359708265456,0.4083260830762374,2017,2018,8.381850681,2015,23360291,3741493231,-0.0584027,2015,0.227985,2015
"Guerrero",0.2755213677260397,0.29111818782110144,2017,2018,7.802707422,2015,236957,1363910222,2.45145,2015,15.318964,2015
"Hidalgo",0.376085892316051,0.42336554473444754,2017,2018,8.715456678,2015,1788933,270215462,0.4495519,2015,14.222953,2015
"Jalisco",0.31061267450184327,0.36865220541608146,2017,2018,9.249860796,2015,18687649,2097576485,-0.6917049,2015,0.766556,2015
"Michoacán de Ocampo",0.347145212658906,0.3956345793960175,2017,2018,7.926166956,2015,1272574,1272093967,0.6252466,2015,3.558948,2015
"Morelos",0.3567399257666781,0.3652746021904162,2017,2018,9.303000614,2015,3490782,1381225179,-0.2088349,2015,1.980698,2015
