"entidad","pob_18","Muy_frecuente","Frecuente","Poco_frecuente","Nunca","Diputados_y_Senadores_Frecuente","Diputados_y_Senadores_Muy_frecuente","Diputados_y_Senadores_Nunca","Diputados_y_Senadores_Poco_frecuente","Ejército_y_Marina_Frecuente","Ejército_y_Marina_Muy_frecuente","Ejército_y_Marina_Nunca","Ejército_y_Marina_Poco_frecuente","Gobierno_Federal_Frecuente","Gobierno_Federal_Muy_frecuente","Gobierno_Federal_Nunca","Gobierno_Federal_Poco_frecuente","Gobiernos_Estatales_Frecuente","Gobiernos_Estatales_Muy_frecuente","Gobiernos_Estatales_Nunca","Gobiernos_Estatales_Poco_frecuente","Gobiernos_Municipales_Frecuente","Gobiernos_Municipales_Muy_frecuente","Gobiernos_Municipales_Nunca","Gobiernos_Municipales_Poco_frecuente","Ministerio_Publico_Frecuente","Ministerio_Publico_Muy_frecuente","Ministerio_Publico_Nunca","Ministerio_Publico_Poco_frecuente","Policias_Frecuente","Policias_Muy_frecuente","Policias_Nunca","Policias_Poco_frecuente","contacto","pob_usuario","tramites","year"
"Aguascalientes",566490,29.05523487,51.84998853,14.54094512,2.039400519,36.01193313,39.2924853,3.917986196,10.50380413,23.80130276,7.050962947,18.37013893,33.04259563,36.29737506,41.26021642,2.636233649,9.577750711,45.19267772,32.82847005,3.131211495,13.86449893,45.5143074,24.38330774,4.137760596,20.05225158,37.96289431,33.75205211,4.778901658,14.65498067,37.01848223,51.16577521,1.200374234,7.960422955,8302.232519,474800,20185.97304,2015
"Baja California",1795114,45.11384792,44.34487169,8.706577967,0.53595482,37.20543653,37.50608596,4.813510451,13.79572551,24.85613727,16.87530708,18.80337405,27.5698925,30.86873591,47.29950298,2.209274731,14.90289753,38.14844071,37.09758823,2.837535666,15.87921436,34.49675062,36.94584299,2.764504093,20.40839746,35.81026052,37.70913714,4.262960458,16.70863243,28.49935993,60.87279137,0.665083109,8.847348971,14126.66167,1279361,24350.90643,2015
"Baja California Sur",184470,38.03653711,45.79118556,12.62535914,2.638911476,34.54653873,46.14463056,4.746571258,11.10641297,22.44809454,18.02677942,22.1228384,30.61798666,27.31717895,53.82338592,3.07583889,12.66167941,33.31869681,46.54306933,2.882311487,14.00769773,30.63750203,50.04770423,2.847617499,13.94318859,34.38336857,44.50046078,5.302759256,12.4177373,29.60698217,60.87439692,0.89553857,7.362714805,11210.35642,150245,31604.37951,2015
"Campeche",314894,35.34649755,47.37689508,14.04028022,0.994302845,41.10272028,39.94614061,2.339199858,11.12564863,24.27832858,6.938525345,16.54366231,39.90199877,36.51482721,45.37495157,1.691362808,11.45528337,42.5133537,34.14291793,2.767915553,14.02440186,43.92176415,32.43758217,2.867949215,14.65000921,39.84737721,33.94920195,3.093104346,17.27089116,32.08984611,57.46473416,1.295356533,7.201153404,9791.333518,255767,17460.42296,2015
"Coahuila de Zaragoza",1381659,46.52537276,36.94753915,11.92189969,2.297093567,29.16718235,37.07427086,7.291596552,11.72134369,20.24233186,10.7434613,19.40703169,29.87712598,27.56121445,47.16113021,4.5250673280000004,10.83016866,32.45945635,43.99377849,4.453703844,11.28339192,34.49896103,37.84189876,4.588396992,15.83364636,31.89846409,37.18638246,5.353274578,14.41614754,25.87020386,61.44070281,1.929564386,7.200618966,11097.15505,1007925,20350.22447,2015
"Colima",302229,41.10624725,43.83993594,11.33776044,1.316551357,35.99820004,41.08275513,1.996499343,13.03481797,22.52199491,12.7466259,16.39915428,35.37119204,33.93718009,45.68919594,1.799297883,12.59376168,33.27609197,50.71022304,1.860178871,10.16679405,40.46368813,32.87242455,1.951169477,18.26992115,33.85843185,34.59992258,3.258125461,19.80385734,38.12605673,41.24719997,2.004440342,14.55187954,7550.739028,212509,9230.197309,2015
"Chiapas",722647,55.89589385,38.1532062,5.580594675,0,28.0540845,52.23546213,3.220936363,14.67355431,21.51866679,20.05335939,11.97929279,42.89549393,29.95487423,55.49057839,1.467936627,11.3009533,34.27745497,52.81970312,1.469597189,10.272927170000001,31.54361673,55.88136393,1.17443233,10.5278234,25.68017303,56.34618285,2.196369735,14.04101864,28.94373048,61.98849507,0.699373276,7.939422706,8736.315197,446298,14116.12869,2015
"Chihuahua",1819279,48.30710408,37.36996909,10.93729989,1.540335485,32.11887786,44.67484097,4.096073225,11.20410888,25.78972219,22.25018812,14.10531315,24.71479086,27.0017408,52.43736667,3.611540616,10.80592916,30.86173149,51.2049004,3.814038419,9.652999897,36.90973182,40.42189241,5.18656017,12.54755318,32.94013727,39.49696556,5.901788566,15.36141515,26.74889338,60.59724759,1.950058237,7.911320913,17620.91503,1311975,36471.57911,2015
"Ciudad de México",7156090,62.06010545,33.02131471,4.339073433,0.363941761,26.77937253,65.7182903,1.029640488,4.751547284,23.01912078,33.20208382,9.954528241,27.89886656,23.64006042,66.05855991,1.717320492,6.680729281,30.11840265,59.78488253,1.102850858,8.186286086,29.46058532,59.73598711,1.34307981,8.317377227,19.16320225,72.90565099,1.391108832,5.359770489,23.16035712,70.98200274,0.279552102,5.080050698,16167.2539,4367396,25889.3858,2015
"Durango",637812,39.97729739,46.13992838,11.10327181,1.927056876,34.70709237,42.58261055,5.189146645,10.2459659,22.77301148,16.57196792,21.45663612,32.45250952,30.59098919,46.51684195,4.127391771,12.31930412,39.27850213,36.16959229,5.444707845,14.76845842,40.67076192,31.19163641,6.713577042,16.4051476,34.58730786,38.11107348,6.978858974,15.46380438,24.46724113,67.67088107,1.138109662,4.675045311,14291.54202,522134,23365.26639,2015
"Guanajuato",1728037,41.03222327,47.14193041,9.624273091,0.987768202,34.60817101,41.21694154,3.377531847,8.073264635,19.28170519,10.7897574,21.7017344,25.97311284,35.72689705,44.72166973,3.636091125,8.928570395,39.09679017,35.77463908,3.917450842,12.63670859,36.46877931,40.58894572,4.194991195,12.05211462,34.68594712,37.86406194,5.2571791,12.8670856,27.99083584,64.49231122,1.249336675,5.167655554,7253.3023,1237395,17259.2422,2015
"Guerrero",714091,60.50839459,32.49067696,4.977936986,0.549369758,34.66995103,44.82888035,2.783118678,9.584632771,27.52226257,19.96370211,13.07214347,28.97291802,31.12292411,53.14742799,1.718828553,8.468248445,33.01862088,52.74005694,2.047778224,7.255517854,33.32250371,50.11686186,1.479223236,10.70003683,33.22531722,50.08171227,1.786466991,9.433531581,31.71234479,59.48051439,0.62443022,5.301705245,10352.12381,461741,14818.91363,2015
"Hidalgo",386350,33.51986541,44.05539019,18.98537595,1.493205643,32.49229973,37.53772486,8.145205125,14.88417238,17.44040378,8.991587938,29.61511583,31.23489064,31.12825159,42.12631034,5.78335706,14.4778051,38.28005694,36.05124887,6.259867995,15.3034813,36.06884949,32.95768086,7.134722402,20.04270739,34.38048402,37.39691989,6.093697425,17.64591691,31.67412968,54.11181571,1.600621198,10.90694966,14728.07693,286901,26961.56514,2015
"Jalisco",3071246,51.19895964,41.12047684,6.327236568,1.210974308,32.94568393,50.38310184,3.614233441,7.284567892,18.69684161,20.74255856,18.33594574,30.31287627,29.18092527,53.02984522,2.42373942,10.98345753,36.19208621,46.61811525,2.754647462,10.81085657,34.9644737,45.16844304,3.199157606,12.80646357,30.68360529,47.87128742,5.185484979,12.63402541,30.32368622,61.17399909,1.984504009,6.209597017,14351.48005,2423102,22332.28316,2015
"Estado de México",8347648,50.67726862,39.14757786,8.454321505,0.153156913,35.52930119,50.08392783,2.017358662,6.858446834,24.77452331,16.21263858,11.82063499,30.99081322,29.91963724,53.03874816,1.653914971,8.472350535,33.75645451,49.97478332,1.918240922,9.75172887,30.96081675,52.88483654,2.208849726,9.07145342,25.26302019,59.03852199,1.704803557,9.178190072,22.67587229,68.72640054,0.647942989,6.879614473,12278.1122,5847381,62160.34153,2015
"Michoacán de Ocampo",822059,55.95583772,34.73631455,6.662782112,2.254704346,33.53652232,45.50719596,3.025087007,12.964033,24.28536151,11.3406702,18.53212482,35.54513727,29.96269124,48.5283903,2.621223051,13.37020822,35.20282607,44.87548947,2.956357147,13.22958571,38.24397032,36.47694387,3.273244378,17.35009288,30.11511339,48.42681608,2.818654136,13.17277714,26.038642,64.13785385,1.604142768,6.721658664,16321.21391,551209,29144.11775,2015
"Morelos",726528,51.19417283,39.50391451,6.660307655,1.137189482,32.59998238,49.96448864,1.921467583,7.369846723,22.43561157,12.45444085,17.32280105,31.34387112,28.55375154,55.24494582,1.783826638,8.169127687,31.66608857,57.78084258,1.127141693,6.055926268,38.7942378,46.42395063,1.180821661,9.771268279,31.57166689,50.98812434,2.540714191,7.611819503,27.53534619,64.21335447,0.708025018,5.459115134,20091.96406,568048,29739.91635,2015
