"entidad","year","pib_total","pib_primarias","pib_secundarias","pib_terciarias","pib_salud","pib_educacion","pob_tot","year_real"
"Aguascalientes","2015",0.15102018751371382,0.006101053374210693,0.06370109725845381,0.08121803688104932,0.0035725514725601583,0.0059600150547334035,1312544,2015
"Baja California","2015",0.1542507909182976,0.004481779172595413,0.059231391479374604,0.09053762026632761,0.0029457998543926203,0.005795683712300567,3315766,2015
"Baja California Sur","2015",0.1833080422286171,0.00693640006235701,0.05353711014579462,0.12283453202046546,0.003692591172550556,0.00647196392281775,712029,2015
"Campeche","2015",0.7085039219673509,0.005450733445119681,0.6161887966966356,0.08686439182559552,0.0027634740885690125,0.006380414720684142,899931,2015
"Coahuila de Zaragoza","2015",0.19084421717714384,0.004629887154114417,0.09730930432855091,0.088905025694478515,0.002935804244792151,0.005372421541736396,2954915,2015
"Colima","2015",0.13480504474611066,0.00615066047087109,0.03552167145880054,0.093132712816439,0.003147329644913425,0.006735105837029956,711235,2015
"Chiapas","2015",0.05515847174768126,0.0037766978643548332,0.014635509863339868,0.036746264019986555,0.0016891135297900997,0.004631625548016561,5217908,2015
"Chihuahua","2015",0.14357719367008812,0.009182634749059067,0.056443761327614715,0.07795079759341435,0.002756323922966315,0.005380315438396615,3556574,2015
"Ciudad de México","2015",0.3217742531299289,1.3319578640406796e-4,0.03186284363793501,0.2897782137055898,0.009035132995980447,0.010119837266905664,8918653,2015
"Durango","2015",0.10992315788993784,0.010724206355990641,0.03364064307589554,0.06555830845805168,0.002495488256473557,0.006217199675852,1754754,2015
"Guanajuato","2015",0.11169901004103916,0.003943613048687175,0.041984119041757854,0.06577127795059413,0.002829407738076426,0.004018740357556456,5853677,2015
"Guerrero","2015",0.0649771459768921,0.003240146822289161,0.012001608999756882,0.049735390154846064,0.002024645291262919,0.004621549105908411,3533251,2015
"Hidalgo","2015",0.09050474485535231,0.003688107407082175,0.03079070788518867,0.05602592956308147,0.002001223429247341,0.005156115449458938,2858359,2015
"Jalisco","2015",0.14084242360892463,0.007942867850546155,0.045302814210123096,0.08759674154825535,0.002757719925097166,0.004879047729523776,7844830,2015
"México","2015",0.0892771498420273,0.0013211493631424729,0.02332598448146261,0.06463001599742223,0.0024416739026544257,0.0045223669241311005,16187608,2015
"Michoacán de Ocampo","2015",0.08420565033566578,0.009339979901716032,0.015435824983951258,0.059429845449998485,0.0019065750443180906,0.005767987407925582,4584471,2015
