"Entidad federativa  
   Diversas instituciones y    
   sectores",,Percepción sobre la frecuencia de corrupción en diversas instituciones y sectores 2,,,,,,,
,,Muy frecuente,,Frecuente,,Poco frecuente,, Nunca,
grupo,entidad,MuyFrecuente_tot,Muy_frecuente,Frecuente_tot,Frecuente,Pocofrecuente_tot,Poco_frecuente,Nunca_tot,Nunca
Partidos políticos,Aguascalientes,324577,55.06980074,184890,31.36961479,53680,9.107690637,8751,1.484750387
Policías,Aguascalientes,305949,51.90925564,197595,33.525226,64967,11.02271493,6945,1.178332926
Diputados y Senadores,Aguascalientes,290990,49.37121644,186711,31.67857725,51203,8.687427043,8849,1.501377691
Gobierno Federal,Aguascalientes,273426,46.39119635,190791,32.37081603,58644,9.949914488,16627,2.821042702
Gobiernos Estatales,Aguascalientes,233324,39.58723566,222203,37.70037598,76217,12.93146157,11916,2.021744442
Ministerio Público,Aguascalientes,193409,32.81500258,213160,36.16608301,106350,18.04401824,29381,4.98496756
Gobiernos Municipales,Aguascalientes,154938,26.28776773,244531,41.48868665,114023,19.34586828,30743,5.216053153
Institutos electorales,Aguascalientes,181253,30.75253821,206046,34.95907647,110715,18.78461194,39595,6.717939843
Medios de comunicación,Aguascalientes,168621,28.60931265,216753,36.77569427,136176,23.10448734,25076,4.254553845
Empresarios,Aguascalientes,128098,21.73392241,236092,40.05687217,128680,21.83266824,30504,5.175502891
Jueces y magistrados,Aguascalientes,136255,23.11789098,212466,36.04833455,132220,22.43328718,23153,3.92828542
Sindicatos,Aguascalientes,138915,23.56920352,199127,33.78515487,113066,19.18349757,39998,6.786315389
Hospitales públicos,Aguascalientes,105574,17.91235714,180905,30.69349431,197219,33.46143144,50087,8.498079377
Comisiones de derechos humanos,Aguascalientes,73285,12.43399978,182491,30.96258517,199158,33.79041453,51295,8.703036349
Escuelas públicas,Aguascalientes,54120,9.182343839,184779,31.35078182,225442,38.24992535,72322,12.27061107
Universidades públicas,Aguascalientes,65608,11.13147108,157811,26.77521921,180036,30.54605424,31229,5.298511008
Instituciones religiosas,Aguascalientes,61416,10.42022966,143938,24.42143768,215029,36.48318946,112422,19.07423243
Ejército y Marina,Aguascalientes,44420,7.536580069,123624,20.97483508,222047,37.67390803,104298,17.69586286
Compañeros del trabajo,Aguascalientes,30069,5.101698021,115237,19.55184326,178304,30.25219209,117151,19.87658468
Familiares,Aguascalientes,17886,3.034652659,111400,18.9008334,214880,36.45790917,215570,36.57497896
Vecinos,Aguascalientes,25129,4.263546163,93517,15.86668974,209041,35.46722724,186244,31.59934305
,,,,,,,,,
Baja California,1795114,,,,,,,,
Policías,Baja California,1163005,61.74557111,555273,29.48022451,135242,7.180187986,7012,0.372276942
Gobierno Federal,Baja California,1172199,62.23369351,502615,26.68453723,109181,5.796572844,20653,1.096496817
Partidos políticos,Baja California,1044007,55.42779993,617602,32.78935878,151744,8.056302375,9346,0.496192284
Gobiernos Estatales,Baja California,958747,50.90122662,673033,35.73226853,161959,8.598631091,23532,1.249346976
Diputados y Senadores,Baja California,895379,47.53693038,692737,36.7783816,147253,7.817868868,19980,1.0607663
Gobiernos Municipales,Baja California,904349,48.0131603,664318,35.26957693,209935,11.14574441,22468,1.192857719
Institutos electorales,Baja California,681304,36.17138755,782698,41.55453762,280098,14.87079675,64717,3.435916549
Ministerio Público,Baja California,614452,32.62212085,848614,45.05411076,270897,14.38230272,36849,1.956365235
Medios de comunicación,Baja California,494387,26.24770114,847335,44.98620685,380551,20.2039878,60833,3.229709526
Empresarios,Baja California,470965,25.00419422,795684,42.24398262,344325,18.28069851,58030,3.080894314
Jueces y magistrados,Baja California,383094,20.33899925,791209,42.00639858,418272,22.20664874,72297,3.838349409
Sindicatos,Baja California,384534,20.41545087,713753,37.8941506,385665,20.47549725,60543,3.214313018
Comisiones de derechos humanos,Baja California,222703,11.82361548,667902,35.45985653,581010,30.84663804,145647,7.73260407
Hospitales públicos,Baja California,267011,14.17598952,579961,30.79094515,674111,35.78950107,203337,10.79544731
Ejército y Marina,Baja California,291872,15.49589497,550399,29.221457,586862,31.15732895,251717,13.36400955
Instituciones religiosas,Baja California,274936,14.59673891,485266,25.76345442,639838,33.9698993,304261,16.15364441
Escuelas públicas,Baja California,233977,12.422168,491811,26.11093768,751523,39.89941302,281440,14.94204542
Universidades públicas,Baja California,171979,9.130606983,542892,28.82289981,685637,36.40143262,98178,5.212408099
Vecinos,Baja California,141790,7.527830515,401179,21.29915733,596005,31.64274368,451310,23.96068263
Compañeros del trabajo,Baja California,134698,7.151306261,392071,20.8156008,539798,28.658635,403186,21.40571179
Familiares,Baja California,89119,4.731453048,409154,21.7225613,647704,34.3875163,649458,34.48063863
,,,,,,,,,
Baja California Sur,184470,,,,,,,,
Policías,Baja California Sur,121963,60.38968112,61422,30.41295306,11775,5.830362448,2680,1.326995445
