"Entidad federativa  
   Instituciones y sectores",Población de 18 años y más1,Percepción sobre la frecuencia de corrupción en instituciones y sectores 2,,,,,,,
,,Muy frecuente,,Frecuente,,Poco frecuente,, Nunca,
,,Absolutos,Relativos,Absolutos,Relativos,Absolutos,Relativos,Absolutos,Relativos
grupo,entidad,MuyFrecuente_tot,Muy_frecuente,Frecuente_tot,Frecuente,Pocofrecuente_tot,Poco_frecuente,Nunca_tot,Nunca
Policías,Aguascalientes,351920,54.97384244,206184,32.20824826,59208,9.248952213,13164,2.056364122
Partidos políticos,Aguascalientes,349464,54.59018775,203905,31.85224296,52581,8.213740649,12986,2.02855853
Gobiernos Estatales,Aguascalientes,231237,36.12180724,261168,40.7973644,103013,16.09178345,13685,2.137750153
Cámaras de Diputados y Senadores,Aguascalientes,247463,38.65649003,239095,37.34931478,81011,12.65482482,21005,3.281216073
Gobierno Federal,Aguascalientes,246549,38.513713,216090,33.75567632,106144,16.58088069,29802,4.655405923
Ministerio Público,Aguascalientes,210711,32.91541633,250491,39.12949752,104550,16.33188005,30871,4.822395686
Gobiernos Municipales,Aguascalientes,155527,24.29505795,276661,43.21754439,126599,19.77618061,35514,5.547684247
Empresarios,Aguascalientes,168567,26.33205188,259248,40.49743892,119051,18.59709853,28655,4.476231686
Medios de comunicación,Aguascalientes,158985,24.83523625,260825,40.74378397,140539,21.95376461,43210,6.749885575
Jueces y Magistrados,Aguascalientes,146068,22.81745629,261979,40.92405168,121148,18.9246734,28891,4.513097527
Sindicatos,Aguascalientes,155912,24.35519926,242058,37.81216854,112973,17.64764691,42146,6.583676868
Institutos electorales,Aguascalientes,149118,23.29390042,236443,36.9350427,160465,25.06642881,60923,9.516854406
Hospitales públicos,Aguascalientes,126366,19.7397834,220169,34.39286177,199249,31.12492365,54408,8.499138495
Comisiones de Derechos Humanos,Aguascalientes,108213,16.90408164,192751,30.10986333,191615,29.93240742,76996,12.02763688
Universidades públicas,Aguascalientes,75738,11.83112321,198511,31.00963979,233580,36.48781006,39029,6.096766585
Instituciones religiosas,Aguascalientes,92520,14.45265942,180727,28.23157997,213477,33.34749648,99091,15.47912316
Escuelas públicas de nivel básico,Aguascalientes,53228,8.31480929,198837,31.06056464,257971,40.29795723,88584,13.83781217
ONG's,Aguascalientes,49536,7.738077571,178043,27.81230913,237063,37.03189364,80436,12.56500338
Guardia Nacional,Aguascalientes,67644,10.56674982,151524,23.66974455,179546,28.04709455,87053,13.59865283
Ejército y Marina,Aguascalientes,50400,7.873044041,150875,23.56836348,216380,33.80097757,129264,20.19248343
Organismos Autónomos Públicos/Descentralizados,Aguascalientes,41012,6.406533377,156748,24.48579181,244073,38.12693409,111387,17.39989596
Compañeros de trabajo,Aguascalientes,41033,6.409813812,137660,21.50403259,217387,33.95828224,116757,18.23875006
Familiares,Aguascalientes,20485,3.199986253,100975,15.77342504,231826,36.21381563,257368,40.20376188
Vecinos,Aguascalientes,33605,5.249477083,72111,11.26454521,247152,38.60790835,223381,34.89461212
,,,,,,,,,
Baja California,1972157,,,,,,,,
Policías,Baja California,1264835,64.13459983,505954,25.65485405,152558,7.735591031,12106,0.613845652
Partidos políticos,Baja California,1004395,50.92875466,681932,34.57797731,217920,11.04983021,5245,0.265952457
Gobiernos Estatales,Baja California,979131,49.64772074,620981,31.48740187,220569,11.18415015,35692,1.809795062
Gobiernos Municipales,Baja California,769273,39.00668152,742143,37.63103039,293737,14.8941996,38839,1.969366536
Cámaras de Diputados y Senadores,Baja California,754435,38.25430734,747392,37.89718567,222926,11.30366396,36289,1.840066486
Ministerio Público,Baja California,713084,36.15756758,746660,37.86006895,332120,16.84044424,47463,2.406654237
Gobierno Federal,Baja California,752800,38.17140319,587251,29.77709178,330736,16.77026728,135344,6.86273963
Jueces y Magistrados,Baja California,547635,27.76832676,769076,38.99669245,331456,16.80677553,49295,2.49954745
Empresarios,Baja California,531450,26.94765173,771815,39.13557592,392991,19.92696322,49253,2.497417802
Medios de comunicación,Baja California,534895,27.12233357,716044,36.30765705,503800,25.54563354,85398,4.330182638
Sindicatos,Baja California,493295,25.01296803,705576,35.77686766,328985,16.68148124,77827,3.946288252
Institutos electorales,Baja California,544130,27.59060257,644981,32.70434352,475665,24.11902298,141807,7.190451876
Instituciones religiosas,Baja California,336456,17.06030504,589633,29.89787324,572560,29.03217137,243134,12.32832883
Hospitales públicos,Baja California,291739,14.79288921,604066,30.62971153,681934,34.57807872,150361,7.624190163
Comisiones de Derechos Humanos,Baja California,304301,15.42985675,560821,28.43693479,609049,30.88237904,184896,9.375318496
ONG's,Baja California,250952,12.72474757,577220,29.26846088,680349,34.49770987,165812,8.407647059
Universidades públicas,Baja California,238183,12.07728391,542318,27.49872348,547619,27.76751547,96877,4.912235689
