"Entidad federativa  
   Diversos sectores",Población de 18 años y más1,Percepción sobre la frecuencia de corrupción en diversas instituciones y sectores 2,,,,,,,
,,Muy frecuente,,Frecuente,,Poco frecuente,, Nunca,
,,Absolutos,Muy frecuente,Absolutos,Frecuente,Absolutos,Poco frecuente,Absolutos, Nunca
grupo,entidad,MuyFrecuente_tot,Muy_frecuente,Frecuente_tot,Frecuente,Pocofrecuente_tot,Poco_frecuente,Nunca_tot,Nunca
Policías,Aguascalientes,289849,51.16577521,209706,37.01848223,45095,7.960422955,6800,1.200374234
Partidos políticos,Aguascalientes,295100,52.09271126,204454,36.09136966,36727,6.483256545,10462,1.846811065
Gobiernos Estatales,Aguascalientes,185970,32.82847005,256012,45.19267772,78541,13.86449893,17738,3.131211495
Gobierno Federal,Aguascalientes,233735,41.26021642,205621,36.29737506,54257,9.577750711,14934,2.636233649
Diputados y Senadores,Aguascalientes,222588,39.2924853,204004,36.01193313,59503,10.50380413,22195,3.917986196
Ministerio Público,Aguascalientes,191202,33.75205211,215056,37.96289431,83019,14.65498067,27072,4.778901658
Gobiernos Municipales,Aguascalientes,138129,24.38330774,257834,45.5143074,113594,20.05225158,23440,4.137760596
Empresarios,Aguascalientes,130280,22.99775812,240974,42.5380854,110538,19.51278928,23586,4.163533337
Medios de comunicación,Aguascalientes,144965,25.59003689,218535,38.57702696,114338,20.18358665,45241,7.986195696
Institutos electorales,Aguascalientes,161210,28.45769563,201354,35.54414023,115890,20.45755441,49050,8.658581793
Jueces y magistrados,Aguascalientes,108738,19.19504316,223453,39.44517997,110651,19.53273668,40311,7.115924376
Sindicatos,Aguascalientes,133363,23.54198662,196554,34.69681724,115850,20.45049339,38446,6.78670409
Hospitales públicos,Aguascalientes,97731,17.25202563,203750,35.96709562,167470,29.56274603,47373,8.362548324
Universidades públicas,Aguascalientes,66004,11.6513972,195632,34.53406062,161666,28.53819132,30463,5.377500044
Escuelas públicas,Aguascalientes,60193,10.62560681,179273,31.64627796,211802,37.38847994,73374,12.95239104
Instituciones religiosas,Aguascalientes,67000,11.82721672,146540,25.86806475,180919,31.93683913,122563,21.63550989
Comisiones de derechos humanos,Aguascalientes,51811,9.145969037,142092,25.08287878,206230,36.40487917,84131,14.85127716
Ejército y Marina,Aguascalientes,39943,7.050962947,134832,23.80130276,187183,33.04259563,104065,18.37013893
Compañeros del trabajo,Aguascalientes,41538,7.332521315,122731,21.6651662,179680,31.71812389,109059,19.25170789
Vecinos,Aguascalientes,23185,4.092746562,85070,15.01703472,192454,33.97306219,202043,35.66576639
Familiares,Aguascalientes,21414,3.780119684,85951,15.1725538,208841,36.86578757,222548,39.28542428
,,,,,,,,,
Baja California,1795114,,,,,,,,
Policías,Baja California,1092736,60.87279137,511596,28.49935993,158820,8.847348971,11939,0.665083109
Partidos políticos,Baja California,906841,50.51718164,620547,34.56866806,164037,9.137971182,43262,2.409986218
Gobierno Federal,Baja California,849080,47.29950298,554129,30.86873591,267524,14.90289753,39659,2.209274731
Gobiernos Estatales,Baja California,665944,37.09758823,684808,38.14844071,285050,15.87921436,50937,2.837535666
Diputados y Senadores,Baja California,673277,37.50608596,667880,37.20543653,247649,13.79572551,86408,4.813510451
Ministerio Público,Baja California,676922,37.70913714,642835,35.81026052,299939,16.70863243,76525,4.262960458
Gobiernos Municipales,Baja California,663220,36.94584299,619256,34.49675062,366354,20.40839746,49626,2.764504093
Institutos electorales,Baja California,532950,29.68892226,645891,35.9805004,361546,20.14055932,122472,6.82251935
Empresarios,Baja California,424747,23.66128279,665107,37.05096167,349594,19.47475202,177651,9.896363128
Jueces y magistrados,Baja California,435078,24.23678942,649790,36.19770109,413786,23.0506809,153581,8.555501211
Medios de comunicación,Baja California,485028,27.0193425,580150,32.31828174,392313,21.85448946,180779,10.0706139
Sindicatos,Baja California,399236,22.24014742,568763,31.68394876,383748,21.37736099,274843,15.31061537
Hospitales públicos,Baja California,287083,15.99246622,500661,27.89020642,569293,31.71347335,288685,16.08170846
Ejército y Marina,Baja California,302931,16.87530708,446196,24.85613727,494911,27.5698925,337542,18.80337405
Instituciones religiosas,Baja California,234019,13.03644225,452749,25.22118372,564443,31.44329552,406480,22.64368725
Universidades públicas,Baja California,134926,7.516291444,458466,25.53965932,608688,33.90804149,305197,17.00153862
Escuelas públicas,Baja California,168915,9.409708798,422555,23.53917356,717063,39.94526253,351044,19.55552684
Comisiones de derechos humanos,Baja California,168797,9.4031354,357870,19.93578124,723024,40.27733058,313077,17.44050796
Compañeros del trabajo,Baja California,114306,6.367617878,362162,20.17487469,580486,32.33699921,532575,29.66803223
Vecinos,Baja California,78164,4.354263852,245507,13.67640161,589078,32.81563176,708987,39.49537467
Familiares,Baja California,71669,3.99244839,235328,13.10936241,687747,38.3121629,751131,41.84308072
,,,,,,,,,
Baja California Sur,184470,,,,,,,,
Policías,Baja California Sur,112295,60.87439692,54616,29.60698217,13582,7.362714805,1652,0.89553857
Partidos políticos,Baja California Sur,103869,56.30671654,58942,31.95207893,14067,7.625630184,4403,2.386837968
Gobierno Federal,Baja California Sur,99288,53.82338592,50392,27.31717895,23357,12.66167941,5674,3.07583889
Diputados y Senadores,Baja California Sur,85123,46.14463056,63728,34.54653873,20488,11.10641297,8756,4.746571258
Gobiernos Municipales,Baja California Sur,92323,50.04770423,56517,30.63750203,25721,13.94318859,5253,2.847617499
Gobiernos Estatales,Baja California Sur,85858,46.54306933,61463,33.31869681,25840,14.00769773,5317,2.882311487
Ministerio Público,Baja California Sur,82090,44.50046078,63427,34.38336857,22907,12.4177373,9782,5.302759256
Medios de comunicación,Baja California Sur,63411,34.37469507,65051,35.26372852,35191,19.07681466,14591,7.909687212
Jueces y magistrados,Baja California Sur,55732,30.21195858,66368,35.97766575,38849,21.05979292,14291,7.747059142
Institutos electorales,Baja California Sur,58371,31.6425435,62619,33.94535697,40457,21.93147937,17469,9.469832493
Empresarios,Baja California Sur,53428,28.96297501,66483,36.04000651,41825,22.67306337,15372,8.333062287
Sindicatos,Baja California Sur,61203,33.17775248,57716,31.28747222,36442,19.75497371,15677,8.498400824
Hospitales públicos,Baja California Sur,30105,16.31972678,51736,28.0457527,70025,37.96010191,23026,12.48224644
Escuelas públicas,Baja California Sur,25636,13.89711064,49417,26.78863772,72303,39.19499106,29363,15.91749336
Ejército y Marina,Baja California Sur,33254,18.02677942,41410,22.44809454,56481,30.61798666,40810,22.1228384
Universidades públicas,Baja California Sur,22798,12.3586491,51645,27.99642218,72119,39.09524584,21237,11.51244105
Comisiones de derechos humanos,Baja California Sur,32952,17.86306717,41446,22.46760991,66439,36.01615439,32706,17.72971215
Instituciones religiosas,Baja California Sur,30757,16.67317179,36669,19.87802895,56572,30.66731718,49077,26.60432591
Compañeros del trabajo,Baja California Sur,23146,12.54729766,33741,18.29077899,61616,33.40163712,41888,22.70721527
Familiares,Baja California Sur,16406,8.893587033,27408,14.85770044,62754,34.0185396,72847,39.48988996
Vecinos,Baja California Sur,20553,11.14164905,20792,11.27120941,57602,31.22567355,76197,41.3059034
,,,,,,,,,
Campeche,314894,,,,,,,,
Policías,Campeche,180953,57.46473416,101049,32.08984611,22676,7.201153404,4079,1.295356533
Partidos políticos,Campeche,160023,50.81805306,116928,37.13249538,26088,8.284692627,2732,0.867593539
Gobierno Federal,Campeche,142883,45.37495157,114983,36.51482721,36072,11.45528337,5326,1.691362808
Diputados y Senadores,Campeche,125788,39.94614061,129430,41.10272028,35034,11.12564863,7366,2.339199858
Gobiernos Estatales,Campeche,107514,34.14291793,133872,42.5133537,44162,14.02440186,8716,2.767915553
Gobiernos Municipales,Campeche,102144,32.43758217,138307,43.92176415,46132,14.65000921,9031,2.867949215
Ministerio Público,Campeche,106904,33.94920195,125477,39.84737721,54385,17.27089116,9740,3.093104346
Sindicatos,Campeche,90376,28.70045158,136954,43.49209575,51608,16.38900709,12081,3.836529118
Institutos electorales,Campeche,101536,32.24450132,118546,37.64631908,66586,21.14552834,13681,4.344636608
Medios de comunicación,Campeche,85361,27.10785217,134457,42.6991305,61074,19.39509803,15519,4.928325087
Empresarios,Campeche,78920,25.06240195,127859,40.60382224,71598,22.73717505,14337,4.552960679
Jueces y magistrados,Campeche,63944,20.30651584,136166,43.24185281,70214,22.29766207,15899,5.049000616
Hospitales públicos,Campeche,59185,18.79521363,109391,34.73899153,96658,30.69540861,32328,10.26631184
Universidades públicas,Campeche,44297,14.06727343,118729,37.70443387,103797,32.96252072,20489,6.506633978
Comisiones de derechos humanos,Campeche,30800,9.781069185,101593,32.26260265,106434,33.79994538,35642,11.31872948
Escuelas públicas,Campeche,27933,8.870604076,96773,30.73192884,131952,41.90362471,39846,12.65378191
Instituciones religiosas,Campeche,34176,10.85317599,82937,26.33806932,107928,34.27439075,62298,19.78380026
Ejército y Marina,Campeche,21849,6.938525345,76451,24.27832858,125649,39.90199877,52095,16.54366231
Compañeros del trabajo,Campeche,24549,7.795956735,51474,16.34645309,104138,33.07081113,58799,18.6726327
Vecinos,Campeche,14716,4.673318641,43219,13.72493601,105161,33.39568236,114716,36.43003677
Familiares,Campeche,12139,3.854948014,42243,13.41499044,109374,34.73359289,131345,41.71086143
,,,,,,,,,
Coahuila de Zaragoza,1381659,,,,,,,,
Policías,Coahuila de Zaragoza,848901,61.44070281,357438,25.87020386,99488,7.200618966,26660,1.929564386
Partidos políticos,Coahuila de Zaragoza,714184,51.69032301,399798,28.93608336,136106,9.850911115,54641,3.95473847
Gobiernos Estatales,Coahuila de Zaragoza,607844,43.99377849,448479,32.45945635,155898,11.28339192,61535,4.453703844
Gobierno Federal,Coahuila de Zaragoza,651606,47.16113021,380802,27.56121445,149636,10.83016866,62521,4.525067328
