entidad,Población de 18 años y más,MuyFrecuente_tot,Muy_frecuente,Frecuente_tot,Frecuente,Pocofrecuente_tot,Poco_frecuente,Nunca_tot,Nunca
Aguascalientes,589392,203761,34.57138882,289512,49.12044955,75763,12.85443304,7297,1.238055488
Baja California,1883544,975238,51.77675701,695578,36.92921429,156214,8.293620961,26652,1.414992164
Baja California Sur,201960,85922,42.54406813,94780,46.93008517,15851,7.848583878,1984,0.982372747
Campeche,330143,104744,31.72685776,171300,51.88660671,49629,15.03257679,2754,0.834183975
Coahuila de Zaragoza,1552128,785597,50.61418904,546981,35.24071468,170047,10.95573303,29690,1.912857702
Colima,315507,134853,42.74168243,133485,42.30809459,38881,12.32333989,4442,1.407892693
Chiapas,732976,383195,52.27933793,275274,37.55566349,59157,8.070796315,3482,0.475049661
Chihuahua,1862946,822020,44.12473577,805591,43.24285299,201250,10.80278226,9024,0.484394073
Ciudad de México,6909104,4716732,68.26836012,1935838,28.01865481,204014,2.952828616,31623,0.457700449
Durango,642889,276998,43.08644261,262128,40.77344612,83618,13.0065999,14105,2.194002386
Guanajuato,1814618,775909,42.75880654,872127,48.06118974,142619,7.859450309,14311,0.788650835
Guerrero,743701,401932,54.04483791,284814,38.29684241,47879,6.437936751,5733,0.770874316
Hidalgo,398838,127252,31.90568602,199666,50.06192991,60254,15.10738696,6695,1.67862641
Jalisco,3159868,1576075,49.87787465,1321322,41.81573407,230624,7.298532724,13492,0.426979861
Estado de México,9034583,5717382,63.28329708,2721601,30.12425698,402122,4.450919317,41348,0.457663624
Michoacán de Ocampo,824239,486818,59.06272331,254635,30.89334526,52497,6.369147784,14479,1.75665068
Morelos,750392,419333,55.88185908,279347,37.22680945,39005,5.197949872,5326,0.709762364
Nayarit,296768,157941,53.22036069,119715,40.33959187,13600,4.582704335,3580,1.206329523
Nuevo León,3052741,1376392,45.08708731,1365056,44.7157489,237065,7.765644056,29203,0.95661571
Oaxaca,473011,234692,49.61660511,211578,44.73003799,19617,4.147260846,4006,0.846914765
Puebla,1692799,910022,53.75842023,692924,40.93362532,71023,4.195595579,4419,0.261046941
Querétaro,770034,198968,25.83885906,379869,49.33145809,149063,19.3579764,16799,2.181591982
Quintana Roo,863247,481959,55.83094989,321162,37.20395206,47758,5.532367909,8701,1.007938632
San Luis Potosí,852742,417254,48.93086068,351221,41.18725242,64461,7.55926177,9985,1.170928604
Sinaloa,1024758,578517,56.45401158,366328,35.74775703,63391,6.185948292,2635,0.257133879
Sonora,1293729,668865,51.70054934,515494,39.84559363,93587,7.233895198,9731,0.752166798
Tabasco,300923,147061,48.86997671,137227,45.60203108,12839,4.266539945,2046,0.679908149
Tamaulipas,1860138,802236,43.12776794,797280,42.86133609,219797,11.81616633,21785,1.171149667
Tlaxcala,501247,133972,26.72774101,289118,57.67974671,58506,11.67208981,8589,1.713526465
Veracruz de Ignacio de la Llave,1978288,1144608,57.85851201,734766,37.14150821,82910,4.190997469,915,0.046252113
Yucatán,781036,241739,30.95107012,344333,44.08670023,164244,21.02899226,16914,2.165585197
Zacatecas,272485,128306,47.08736261,119185,43.74002239,18479,6.781657706,2530,0.928491477
