entidad,habla_indigena
01 Aguascalientes,0.251004
02 Baja California,1.454619
03 Baja California Sur,1.527211
04 Campeche,11.51482
05 Coahuila de Zaragoza,0.198435
06 Colima,0.633929
07 Chiapas,27.935572
08 Chihuahua,2.674611
09 Ciudad de México,1.504583
10 Durango,2.407331
11 Guanajuato,0.227985
12 Guerrero,15.318964
13 Hidalgo,14.222953
14 Jalisco,0.766556
15 México,2.739034
16 Michoacán de Ocampo,3.558948
17 Morelos,1.980698
18 Nayarit,5.41305
19 Nuevo León,1.217869
20 Oaxaca,32.153007
21 Puebla,11.264054
22 Querétaro,1.676642
23 Quintana Roo,16.623827
24 San Luis Potosí,9.996013
25 Sinaloa,1.395216
26 Sonora,2.440612
27 Tabasco,2.72302
28 Tamaulipas,0.738607
29 Tlaxcala,2.737685
30 Veracruz de Ignacio de la Llave,9.194051
31 Yucatán,28.891132
32 Zacatecas,0.251678
