Entidad federativa,Población de 18 años y más que tuvo contacto con algún servidor público1,Total trámites en los que existió experiencia de corrupción,"Tasa de incidencia
de corrupción2"
,,,
entidad,Población de 18 años y más que tuvo contacto con algún servidor público,tramites_tot,tramites
Aguascalientes,469365,114725,24442.59798
Baja California,1399711,272488,19467.44721
Baja California Sur,163073,36641,22469.07827
Campeche,268049,74243,27697.54784
Coahuila de Zaragoza,1245829,279747,22454.6868
Colima,255963,32254,12601.03999
Chiapas,554186,117338,21173.03577
Chihuahua,1416490,576127,40672.86038
Ciudad de México,4525860,1543809,34110.84302
Durango,529391,247096,46675.51961
Guanajuato,1229444,162843,13245.25558
Guerrero,579529,131048,22612.84595
Hidalgo,328339,80613,24551.75901
Jalisco,2596117,652383,25129.18331
Estado de México,6965268,1471374,21124.44202
Michoacán de Ocampo,646030,172662,26726.6226
Morelos,579706,172108,29688.84228
Nayarit,229620,49689,21639.66553
Nuevo León,2339959,527874,22559.11322
Oaxaca,375906,93148,24779.59916
Puebla,1094119,146675,13405.76299
Querétaro,561217,115966,20663.30849
Quintana Roo,584727,128907,22045.6726
San Luis Potosí,673563,188646,28007.17973
Sinaloa,790801,321711,40681.66328
Sonora,1081088,666517,61652.42792
Tabasco,234768,63062,26861.41212
Tamaulipas,1380436,235818,17082.86367
Tlaxcala,389407,90980,23363.72998
Veracruz de Ignacio de la Llave,1323209,188912,14276.80737
Yucatán,643041,123195,19158.18743
Zacatecas,214250,31539,14720.65344
