Entidad federativa,Población de 18 años y más que tuvo contacto con algún servidor público1,Total trámites en los que existió experiencia de corrupción,"Tasa de incidencia
de corrupción2"
entidad,Población de 18 años y más que tuvo contacto con algún servidor público,tramites_tot,tramites
Estados Unidos Mexicanos,32921444,9908332,30096.89368
Aguascalientes,474800,95843,20185.97304
Baja California,1279361,311536,24350.90643
Baja California Sur,150245,47484,31604.37951
Campeche,255767,44658,17460.42296
Coahuila de Zaragoza,1007925,205115,20350.22447
Colima,212509,19615,9230.197309
Chiapas,446298,63000,14116.12869
Chihuahua,1311975,478498,36471.57911
Ciudad de México,4367396,1130692,25889.3858
Durango,522134,121998,23365.26639
Guanajuato,1237395,213565,17259.2422
Guerrero,461741,68425,14818.91363
Hidalgo,286901,77353,26961.56514
Jalisco,2423102,541134,22332.28316
Estado de México,5847381,3634752,62160.34153
Michoacán de Ocampo,551209,160645,29144.11775
Morelos,568048,168937,29739.91635
Nayarit,241615,23869,9878.939635
Nuevo León,2059257,335484,16291.50708
Oaxaca,334971,65030,19413.62088
Puebla,1216687,344279,28296.43121
Querétaro,584857,169055,28905.35635
Quintana Roo,604798,109989,18186.07204
San Luis Potosí,648519,101712,15683.73479
Sinaloa,795304,463121,58231.94653
Sonora,975476,324400,33255.55934
Tabasco,232671,38026,16343.24862
Tamaulipas,1132368,118235,10441.39361
Tlaxcala,376228,108018,28710.78176
Veracruz de Ignacio de la Llave,1417076,148238,10460.83626
Yucatán,680467,146874,21584.29432
Zacatecas,216963,28752,13252.02915
