entidad,pob_tot
01 Aguascalientes,1312544
02 Baja California,3315766
03 Baja California Sur,712029
04 Campeche,899931
05 Coahuila de Zaragoza,2954915
06 Colima,711235
07 Chiapas,5217908
08 Chihuahua,3556574
09 Ciudad de México,8918653
10 Durango,1754754
11 Guanajuato,5853677
12 Guerrero,3533251
13 Hidalgo,2858359
14 Jalisco,7844830
15 México,16187608
16 Michoacán de Ocampo,4584471
17 Morelos,1903811
18 Nayarit,1181050
19 Nuevo León,5119504
20 Oaxaca,3967889
21 Puebla,6168883
22 Querétaro,2038372
23 Quintana Roo,1501562
24 San Luis Potosí,2717820
25 Sinaloa,2966321
26 Sonora,2850330
27 Tabasco,2395272
28 Tamaulipas,3441698
29 Tlaxcala,1272847
30 Veracruz de Ignacio de la Llave,8112505
31 Yucatán,2097175
32 Zacatecas,1579209
